ts	s	trisk	nrisk
0.00E+00	100	0	213
5.04E-01	9.93E+01	10	122
8.39E-01	9.83E+01	20	80
1.68E+00	9.72E+01	30	51
2.85E+00	9.55E+01	40	30
3.02E+00	9.48E+01	50	10
3.53E+00	9.41E+01		
3.69E+00	9.31E+01		
4.36E+00	9.24E+01		
4.70E+00	9.24E+01		
4.87E+00	9.17E+01		
5.04E+00	9.03E+01		
5.20E+00	9.00E+01		
6.04E+00	8.89E+01		
6.38E+00	8.75E+01		
6.55E+00	8.61E+01		
6.71E+00	8.55E+01		
6.88E+00	8.41E+01		
7.39E+00	8.27E+01		
7.89E+00	7.82E+01		
7.89E+00	7.96E+01		
7.89E+00	8.06E+01		
8.39E+00	7.68E+01		
8.73E+00	7.64E+01		
9.06E+00	7.23E+01		
9.06E+00	7.47E+01		
9.23E+00	7.19E+01		
1.01E+01	7.12E+01		
1.06E+01	7.05E+01		
1.07E+01	6.95E+01		
1.11E+01	6.85E+01		
1.14E+01	6.74E+01		
1.18E+01	6.57E+01		
1.19E+01	6.26E+01		
1.19E+01	6.39E+01		
1.26E+01	6.08E+01		
1.33E+01	6.05E+01		
1.36E+01	6.01E+01		
1.39E+01	6.01E+01		
1.43E+01	5.94E+01		
1.46E+01	5.77E+01		
1.46E+01	5.84E+01		
1.56E+01	5.77E+01		
1.58E+01	5.60E+01		
1.61E+01	5.46E+01		
1.63E+01	5.36E+01		
1.81E+01	5.25E+01		
1.86E+01	5.22E+01		
1.95E+01	5.18E+01		
2.12E+01	5.15E+01		
2.12E+01	5.25E+01		
2.15E+01	5.01E+01		
2.28E+01	5.12E+01		
2.32E+01	5.08E+01		
2.37E+01	5.01E+01		
2.45E+01	4.98E+01		
2.52E+01	4.94E+01		
2.57E+01	4.91E+01		
2.74E+01	4.87E+01		
2.90E+01	4.91E+01		
2.97E+01	4.81E+01		
3.06E+01	4.74E+01		
3.17E+01	4.77E+01		
3.36E+01	4.77E+01		
3.58E+01	4.81E+01		
3.61E+01	4.64E+01		
3.66E+01	4.64E+01		
3.74E+01	4.71E+01		
3.91E+01	4.57E+01		
3.91E+01	4.67E+01		
4.05E+01	4.53E+01		
4.21E+01	4.53E+01		
4.33E+01	4.54E+01		
4.38E+01	4.36E+01		
4.52E+01	4.36E+01		
4.53E+01	4.19E+01		
4.55E+01	4.02E+01		
4.57E+01	4.15E+01		
4.68E+01	4.02E+01		
4.82E+01	4.02E+01		
4.92E+01	3.71E+01		
4.94E+01	4.02E+01		
5.00E+01	3.71E+01		
5.09E+01	3.71E+01		
5.17E+01	3.71E+01		
5.30E+01	3.71E+01		
5.52E+01	3.71E+01		
