Country Name,Country Code,Year,YearCode,GDP (current US$),"Population, total"
United States,USA,2009,YR2009,1.40439E+13,307007000
United Kingdom,GBR,2009,YR2009,2.17315E+12,61801570
Canada,CAN,2009,YR2009,1.33607E+12,33739900
