Country Name,Country Code,Year,YearCode,GDP (current US$),"Population, total"
United States,USA,2010,YR2010,1.45824E+13,309050816
United Kingdom,GBR,2010,YR2010,2.24608E+12,62218761
Canada,CAN,2010,YR2010,1.57405E+12,34108752
