Country Name,Country Code,Year,YearCode,GDP (current US$),"Population, total"
United States,USA,2008,YR2008,1.42969E+13,304375000
United Kingdom,GBR,2008,YR2008,2.65748E+12,61393521
Canada,CAN,2008,YR2008,1.49911E+12,33311400
